,Region,Country,City,Month,AvgTemperature_C
211,Africa,Mozambique,Maputo,8,21.10154738967853
212,Africa,Mozambique,Maputo,9,22.465983201581025
213,Africa,Mozambique,Maputo,10,23.44722677924641
214,Africa,Mozambique,Maputo,11,24.80083302954356
215,Africa,Mozambique,Maputo,12,26.202882213058825
216,Africa,Namibia,Windhoek,1,23.889388242659628
217,Africa,Namibia,Windhoek,2,23.131205926479538
218,Africa,Namibia,Windhoek,3,22.121791045819794
219,Africa,Namibia,Windhoek,4,20.21258349554364
220,Africa,Namibia,Windhoek,5,17.783569312745325
221,Africa,Namibia,Windhoek,6,15.28155858097887
222,Africa,Namibia,Windhoek,7,14.831824143728072
223,Africa,Namibia,Windhoek,8,17.713724627656614
224,Africa,Namibia,Windhoek,9,21.519010975873293
225,Africa,Namibia,Windhoek,10,23.694321723546835
226,Africa,Namibia,Windhoek,11,24.01031383887181
227,Africa,Namibia,Windhoek,12,24.599102438260932
228,Africa,Nigeria,Lagos,1,27.64188349127616
229,Africa,Nigeria,Lagos,2,28.75712669177158
230,Africa,Nigeria,Lagos,3,29.15153346899077
231,Africa,Nigeria,Lagos,4,28.737367523695138
232,Africa,Nigeria,Lagos,5,27.809271511849413
233,Africa,Nigeria,Lagos,6,26.464308493865378
234,Africa,Nigeria,Lagos,7,25.74810349169536
235,Africa,Nigeria,Lagos,8,25.491023254865677
236,Africa,Nigeria,Lagos,9,25.866402535373123
237,Africa,Nigeria,Lagos,10,26.55211027912391
238,Africa,Nigeria,Lagos,11,27.632128246360278
239,Africa,Nigeria,Lagos,12,27.8069296058456
240,Africa,Nigeria,Niamey,1,24.669765646539833
241,Africa,Nigeria,Niamey,2,27.88693570797019
242,Africa,Nigeria,Niamey,3,31.960361180038596
243,Africa,Nigeria,Niamey,4,34.871905982905986
244,Africa,Nigeria,Niamey,5,34.650501332598104
245,Africa,Nigeria,Niamey,6,32.21601086956522
246,Africa,Nigeria,Niamey,7,29.533942652329742
247,Africa,Nigeria,Niamey,8,28.114172510518934
248,Africa,Nigeria,Niamey,9,29.465716451959207
249,Africa,Nigeria,Niamey,10,31.446842891278376
250,Africa,Nigeria,Niamey,11,29.171337554286826
251,Africa,Nigeria,Niamey,12,25.60113890187522
252,Africa,Senegal,Dakar,1,21.780209539564375
253,Africa,Senegal,Dakar,2,21.24236158477538
254,Africa,Senegal,Dakar,3,21.45016266887235
255,Africa,Senegal,Dakar,4,21.64932763532764
256,Africa,Senegal,Dakar,5,23.103306681371205
257,Africa,Senegal,Dakar,6,25.730777777777778
258,Africa,Senegal,Dakar,7,27.28765232974911
259,Africa,Senegal,Dakar,8,27.5944982078853
260,Africa,Senegal,Dakar,9,27.728114197530864
261,Africa,Senegal,Dakar,10,28.003727598566307
262,Africa,Senegal,Dakar,11,26.321354938271607
263,Africa,Senegal,Dakar,12,23.94473390992676
264,Africa,Sierra Leone,Freetown,1,27.351179097684472
265,Africa,Sierra Leone,Freetown,2,27.983743082162626
266,Africa,Sierra Leone,Freetown,3,28.490242219946516
267,Africa,Sierra Leone,Freetown,4,28.610296950991394
268,Africa,Sierra Leone,Freetown,5,28.59527772605729
269,Africa,Sierra Leone,Freetown,6,27.46637492651381
270,Africa,Sierra Leone,Freetown,7,26.47164618535587
271,Africa,Sierra Leone,Freetown,8,25.968534163964268
272,Africa,Sierra Leone,Freetown,9,26.79564079952969
273,Africa,Sierra Leone,Freetown,10,27.466586305968026
274,Africa,Sierra Leone,Freetown,11,28.181007495590833
275,Africa,Sierra Leone,Freetown,12,28.08149014466219
276,Africa,South Africa,Capetown,1,21.372594430658946
277,Africa,South Africa,Capetown,2,21.36661193212917
278,Africa,South Africa,Capetown,3,19.814449958643504
279,Africa,South Africa,Capetown,4,17.36319943019943
280,Africa,South Africa,Capetown,5,15.126820834482125
281,Africa,South Africa,Capetown,6,13.003864197530866
282,Africa,South Africa,Capetown,7,12.47505376344086
283,Africa,South Africa,Capetown,8,12.926798088410989
284,Africa,South Africa,Capetown,9,14.400537037037035
285,Africa,South Africa,Capetown,10,16.686594982078855
286,Africa,South Africa,Capetown,11,18.341675925925927
287,Africa,South Africa,Capetown,12,20.461536543556175
288,Africa,Tanzania,Dar Es Salaam,1,28.216468483726544
289,Africa,Tanzania,Dar Es Salaam,2,28.24371471620722
290,Africa,Tanzania,Dar Es Salaam,3,27.65543999712303
291,Africa,Tanzania,Dar Es Salaam,4,26.44488300320184
292,Africa,Tanzania,Dar Es Salaam,5,25.564119834450906
293,Africa,Tanzania,Dar Es Salaam,6,24.624429711190576
294,Africa,Tanzania,Dar Es Salaam,7,23.98599065354675
295,Africa,Tanzania,Dar Es Salaam,8,24.172592892796263
296,Africa,Tanzania,Dar Es Salaam,9,24.87811404765391
297,Africa,Tanzania,Dar Es Salaam,10,25.892738874418406
298,Africa,Tanzania,Dar Es Salaam,11,27.015850143951592
299,Africa,Tanzania,Dar Es Salaam,12,27.96773546423967
300,Africa,Togo,Lome,1,27.640211827157827
301,Africa,Togo,Lome,2,28.802620345810002
302,Africa,Togo,Lome,3,29.100476518702322
303,Africa,Togo,Lome,4,28.81008924811098
304,Africa,Togo,Lome,5,28.07786522720955
305,Africa,Togo,Lome,6,26.672396058584468
306,Africa,Togo,Lome,7,25.847201231577113
307,Africa,Togo,Lome,8,25.337651968830087
308,Africa,Togo,Lome,9,26.136114804009733
309,Africa,Togo,Lome,10,27.02143092920793
310,Africa,Togo,Lome,11,28.196165743006325
311,Africa,Togo,Lome,12,28.149914640966536
312,Africa,Tunisia,Tunis,1,12.041337193272676
313,Africa,Tunisia,Tunis,2,12.25135657446002
314,Africa,Tunisia,Tunis,3,14.32803143093466
315,Africa,Tunisia,Tunis,4,17.05334188034188
316,Africa,Tunisia,Tunis,5,20.76469580001838
317,Africa,Tunisia,Tunis,6,25.04522839506173
318,Africa,Tunisia,Tunis,7,27.973763440860214
319,Africa,Tunisia,Tunis,8,28.214465352449224
320,Africa,Tunisia,Tunis,9,25.056685185185188
321,Africa,Tunisia,Tunis,10,21.658781362007165
322,Africa,Tunisia,Tunis,11,16.719046296296295
323,Africa,Tunisia,Tunis,12,13.201177471300191
324,Africa,Uganda,Kampala,1,23.06007563812922
325,Africa,Uganda,Kampala,2,23.571675882648034
326,Africa,Uganda,Kampala,3,23.286522871240887
