,Region,country,city,hebergement,nutrition,transport,divertissement,Month,AvgTemperature_C,Population,Density
1133,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,3,10.119392546100324,1138151.475,485.9391204
1134,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,4,15.258393162393164,160025.0107,651.8502283
1135,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,4,15.258393162393164,1138151.475,485.9391204
1136,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,5,20.298029630379865,160025.0107,651.8502283
1137,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,5,20.298029630379865,1138151.475,485.9391204
1138,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,6,24.24628531759434,160025.0107,651.8502283
1139,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,6,24.24628531759434,1138151.475,485.9391204
1140,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,7,25.780883073659567,160025.0107,651.8502283
1141,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,7,25.780883073659567,1138151.475,485.9391204
1142,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,8,25.31227598566308,160025.0107,651.8502283
1143,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,8,25.31227598566308,1138151.475,485.9391204
1144,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,9,22.26830977576216,160025.0107,651.8502283
1145,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,9,22.26830977576216,1138151.475,485.9391204
1146,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,10,16.20372759856631,160025.0107,651.8502283
1147,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,10,16.20372759856631,1138151.475,485.9391204
1148,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,11,9.986629629629627,160025.0107,651.8502283
1149,North America,United States,Columbus,56.03958333333333,7.54111111111111,15.71,45.18285714285714,11,9.986629629629627,1138151.475,485.9391204
